m1,m2,task,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
A4,C4,triplet,0.0,0.36117405781107254,0.15403500077839635,0.7672887930358058,1.2556386532417698,1.2332230304539054,4,1.2444308418478376,1.2332230304539054
B4,C4,triplet,33.33,0.35233661508949604,0.23412166560709952,0.6905066474816323,1.2096568546750752,1.2332230304539054,4,1.2214399425644902,1.2096568546750752
A4,A24,triplet,100.0,0.6351676876018323,0.6083997357788176,0.36458463566980426,1.2556386532417698,1.233050663044905,4,1.2443446581433375,1.233050663044905
A5,B5,triplet,50.0,0.3403563067585724,0.26605908791912963,0.7303195180044021,1.2513872229284801,1.2296126215934355,5,1.2404999222609578,1.2296126215934355
A5,C5,triplet,0.0,0.2042489055804012,0.12500171381105757,0.8067350537833642,1.2513872229284801,1.3780097134021765,5,1.3146984681653282,1.2513872229284801
B5,C5,triplet,33.33,0.2825567144471615,0.12982139457177877,0.7721532320669866,1.2296126215934355,1.3780097134021765,5,1.303811167497806,1.2296126215934355
A5,A25,triplet,100.0,0.5742100420192474,0.5414760064877823,0.41290504551760876,1.2513872229284801,1.227596342315114,5,1.239491782621797,1.227596342315114
A6,B6,triplet,50.0,0.3928292847154071,0.3734988575133465,0.6456080848138774,1.2561914568523311,1.2376206453188723,6,1.2469060510856016,1.2376206453188723
A6,C6,triplet,0.0,0.2700603773836762,0.1693424980525818,0.8211471928331646,1.2561914568523311,1.307064753006037,6,1.281628104929184,1.2561914568523311
B6,C6,triplet,33.33,0.29102566652353545,0.20667454057038723,0.7715287155642632,1.2376206453188723,1.307064753006037,6,1.2723426991624547,1.2376206453188723
A6,A26,triplet,100.0,0.5804649895809937,0.5630142205624399,0.43220086832548155,1.2561914568523311,1.2245532974448259,6,1.2403723771485784,1.2245532974448259
A7,B7,triplet,50.0,0.2868324350257878,0.2172048863898533,0.766873353005572,1.2377751784411724,1.2260224999201772,7,1.2318988391806749,1.2260224999201772
A7,C7,triplet,0.0,0.23617878250588004,0.10156591623240108,0.8663597417755704,1.2377751784411724,1.2709233740139099,7,1.2543492762275412,1.2377751784411724
B7,C7,triplet,33.33,0.2231976683119643,0.18253564450216703,0.7959751461480365,1.2260224999201772,1.2709233740139099,7,1.2484729369670435,1.2260224999201772
A7,A27,triplet,100.0,0.6121312584697363,0.544679196979538,0.5018943418527202,1.2377751784411724,1.2727260399999407,7,1.2552506092205564,1.2377751784411724
A8,B8,triplet,50.0,0.2865051450133343,0.2142324346776544,0.8164935659127301,1.2248690859558165,1.2061749040283283,8,1.2155219949920724,1.2061749040283283
A8,C8,triplet,0.0,0.14706840288578632,0.09285618391539623,0.894070833841672,1.2248690859558165,1.3598432976472827,8,1.2923561918015496,1.2248690859558165
B8,C8,triplet,33.33,0.20432533439014589,0.1300427446772251,0.8041451509152813,1.2061749040283283,1.3598432976472827,8,1.2830091008378055,1.2061749040283283
A8,A28,triplet,100.0,0.7037085961376424,0.6489195111402276,0.3648689659669129,1.2248690859558165,1.234269577250169,8,1.2295693316029928,1.2248690859558165
A9,B9,triplet,50.0,0.32770784408853015,0.30184512801720514,0.6574926465342826,1.203720523209021,1.197749587485371,9,1.200735055347196,1.197749587485371
A9,C9,triplet,0.0,0.21069004230279062,0.11825055581518729,0.8487634626007399,1.203720523209021,1.3703236475236813,9,1.2870220853663512,1.203720523209021
B9,C9,triplet,33.33,0.2626949602399902,0.14848746698043694,0.7945655030555809,1.197749587485371,1.3703236475236813,9,1.2840366175045261,1.197749587485371
A9,A29,triplet,100.0,0.6193503761045216,0.5727904934075922,0.3757323157281023,1.203720523209021,1.2453353295657978,9,1.2245279263874094,1.203720523209021
